,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales
1665,The King of Fighters '98: Dream Match Never Ends,PS,1999,Fighting,SNK Playmore,0.05,0.03,0,0.01
1666,Calvin Tucker's Redneck Jamboree,Wii,2008,Misc,Zoo Games,0.29,0,0,0.02
1667,Samurai Warriors 4: Empires,PS4,2015,Action,Tecmo Koei,0.02,0.01,0.05,0.01
1668,Off Road Challenge,N64,1998,Racing,GT Interactive,0.27,0.06,0,0
1669,Kotoba no Puzzle: Mojipittan Daijiten,PSP,2004,Puzzle,Namco Bandai Games,0,0,0.11,0
1670,Jikkyou Powerful Pro Yakyuu 14 Ketteiban,PS2,2007,Sports,Konami Digital Entertainment,0,0,0.09,0
1671,Sonic PC Collection,PC,2009,Misc,Sega,0,0.04,0,0.01
1672,Nacho Libre,DS,2006,Action,Majesco Entertainment,0.03,0,0,0
1673,Digimon Story: Cyber Sleuth,PS4,2016,Role-Playing,Namco Bandai Games,0,0.09,0,0.02
1674,Smash Court Tennis 3,X360,2007,Sports,Atari,0.08,0.02,0,0.01
1675,Shadow of the Colossus,PS2,2005,Action,Sony Computer Entertainment,0.78,0.03,0.2,0.13
1676,Gray Matter,PC,2011,Adventure,DTP Entertainment,0.02,0.05,0,0.01
1677,Cruis'n World,N64,1998,Racing,Nintendo,0.59,0.04,0,0.01
1678,Scooby-Doo! Mystery Mayhem,GBA,2003,Action,THQ,0.31,0.12,0,0.01
1679,The Eye of Judgment: Legends,PSP,2010,Strategy,Sony Computer Entertainment,0,0,0.01,0
1680,Wild 9,PS,1998,Action,Interplay,0.13,0.09,0,0.02
1681,MX vs. ATV Untamed,PS3,2007,Racing,THQ,0.35,0.06,0,0.05
1682,Pilot ni Narou! 2,PS2,2001,Simulation,Victor Interactive,0,0,0.08,0
1683,The King of Fighters EX2: Howling Blood,GBA,2002,Fighting,Marvelous Interactive,0.06,0.02,0,0
1685,Ty the Tasmanian Tiger,GC,2002,Platform,Electronic Arts,0.21,0.05,0,0.01
1686,Top Spin 2,DS,2006,Sports,Take-Two Interactive,0.05,0,0,0
1687,Fossil Fighters: Champions,DS,2010,Role-Playing,Nintendo,0.32,0,0.34,0.02
1688,NHL Blades of Steel '99,N64,1999,Sports,Konami Digital Entertainment,0.05,0,0,0
1689,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.9,PS3,2016,Misc,Namco Bandai Games,0,0,0.02,0
1690,Barbarian,PS2,2002,Fighting,Titus,0.07,0.06,0,0.02
1691,The Clique: Diss and Make Up,DS,2009,Adventure,Warner Bros. Interactive Entertainment,0.11,0,0,0.01
1692,New Play Control! Donkey Kong Jungle Beat,Wii,2008,Platform,Nintendo,0.24,0.17,0.14,0.05
1693,BlazBlue: Continuum Shift,X360,2010,Fighting,PQube,0.23,0.04,0.02,0.02
1694,MySims Party,Wii,2009,Simulation,Electronic Arts,0.18,0.03,0,0.02
1695,Dance Dance Revolution Disney Mix,PS,2000,Simulation,Konami Digital Entertainment,0.02,0.02,0,0
1696,Top Gear Overdrive,N64,1998,Racing,Kemco,0.23,0.06,0,0
1697,Disgaea DS,DS,2008,Role-Playing,Square Enix,0.11,0.02,0.05,0.01
1698,Alice in Wonderland,DS,2010,Adventure,Disney Interactive Studios,0.27,0.18,0,0.05
1699,TimeSplitters,PS2,2000,Shooter,Eidos Interactive,0.21,0.17,0,0.06
1700,Dennou Senki Virtual-On Force,X360,2010,Fighting,Sega,0,0,0.03,0
1701,WorldShift,PC,2009,Strategy,Playlogic Game Factory,0.02,0,0,0
1702,Pro Farm 1,PC,2011,Simulation,Excalibur Publishing,0,0.06,0,0.01
1703,Summer Sports: Paradise Island (Others sales),Wii,2008,Sports,Ubisoft,0,0.66,0,0.01
1704,Yakuza Zero: The Place of Oath,PS4,2015,Action,Sega,0,0,0.17,0
1705,FIFA Soccer 09,PS3,2008,Sports,Electronic Arts,0.48,1.63,0.04,0.43
1706,Centipede,2600,1981,Shooter,Atari,1.26,0.08,0,0.01
1707,Panzer Dragoon Saga,SAT,1997,Role-Playing,Sega,0,0,0.11,0
1708,Battle Rage,Wii,2008,Shooter,Popcorn Arcade,0.04,0,0,0
1709,Guilty Gear XX Accent Core Plus,Wii,2009,Fighting,PQube,0.01,0.02,0,0
1710,Dig Dug,NES,1985,Puzzle,Namco Bandai Games,0,0,0.41,0
1711,Initial D: Street Stage,PSP,2006,Racing,Sega,0,0,0.1,0
1712,Dragon Ball Z: Idainaru Dragon Ball Densetsu,SAT,1995,Fighting,Namco Bandai Games,0,0,0.15,0
1713,Jewel Master: Cradle Of Rome 2,DS,2011,Puzzle,Rising Star Games,0,0.02,0,0
1714,Pandora's Tower,Wii,2011,Role-Playing,Nintendo,0.13,0.1,0.08,0.03
1715,Tales of Xillia 2,PS3,2012,Role-Playing,Namco Bandai Games,0.2,0.15,0.45,0.07
1716,Emergency Room: Real Life Rescues,DS,2009,Simulation,505 Games,0.04,0,0,0
1717,Pony Luv,DS,2008,Simulation,GSP,0.02,0,0,0
1718,Rugrats Studio Tour,PS,1999,Adventure,THQ,0.57,0.67,0,0.07
1719,Seaman: Kindan no Pet - Gaze Hakushi no Jikken Shima,PS2,2001,Simulation,ASCII Entertainment,0,0,0.32,0
1720,Dynasty Warriors 5 Empires,X360,2006,Action,Tecmo Koei,0.11,0.01,0,0.01
1721,Commander: Conquest of the Americas,PC,2010,Strategy,Paradox Interactive,0,0.02,0,0.01
1722,Crayon Shin-chan: Arashi o Yobu Kasukabe Eiga Stars!,3DS,2014,Adventure,Namco Bandai Games,0,0,0.06,0
1723,Battlestations: Pacific,X360,2009,Strategy,Eidos Interactive,0.17,0.12,0.01,0.03
1724,Valkyrie Profile,PS,1999,Role-Playing,Enix Corporation,0.07,0.05,0.63,0.05
1725,Shaun White Snowboarding,PS2,2008,Sports,Ubisoft,0.15,0.12,0,0.04
1726,Suzuki Super-Bikes II: Riding Challenge,DS,2008,Racing,Valcon Games,0.05,0,0,0
1727,Top Gear Rally,GBA,2003,Racing,Kemco,0.06,0.02,0,0
1728,Minecraft: Story Mode,PC,2015,Adventure,Mojang,0.02,0.05,0,0.01
1729,MotorStorm: Arctic Edge,PSP,2009,Racing,Sony Computer Entertainment,0.16,0.58,0,0.3
1730,Just Dance: Disney Party 2,XOne,2015,Action,Ubisoft,0.05,0.01,0,0.01
1731,World Series of Poker,XB,2005,Misc,Activision,0.19,0.05,0,0.01
1732,World Championship Poker 2: Featuring Howard Lederer,PS2,2005,Misc,Oxygen Interactive,0.16,0.13,0,0.04
1733,N3: Ninety-Nine Nights,X360,2006,Action,Microsoft Game Studios,0.2,0.03,0.05,0.02
1734,Kelly Slater's Pro Surfer,XB,2002,Sports,Activision,0.08,0.02,0,0
1735,Bakugan: Battle Brawlers,X360,2009,Action,Activision,0.2,0.02,0,0.02
1736,Yume Neko DS,DS,2008,Simulation,Sega,0,0,0.02,0
1737,Chocobo Racing,PS,1999,Racing,SquareSoft,0.07,0.05,0.3,0.03
1738,Soul Eater: Monotone Princess,Wii,2008,Action,Square Enix,0,0,0.02,0
1739,Bratz 4 Real,DS,2007,Adventure,THQ,0.29,0.22,0,0.06
1740,Order Up!,Wii,2008,Misc,Zoo Digital Publishing,0.19,0.01,0,0.02
1741,Bakumatsu Rock: Ultra Soul,PSP,2014,Misc,Marvelous Interactive,0,0,0.01,0
1742,Dark Angel: Vampire Apocalypse,PS2,2001,Role-Playing,Metro 3D,0.04,0.03,0,0.01
1743,Polaris SnoCross,N64,2000,Racing,Vatical Entertainment,0.05,0.01,0,0
1744,One Piece Unlimited Cruise SP,3DS,2011,Action,Namco Bandai Games,0,0,0.3,0
1745,Shrek the Third,X360,2007,Action,Activision,0.54,0.1,0,0.06
1746,All-Pro Football 2K8,X360,2007,Sports,Take-Two Interactive,0.24,0,0,0.02
1747,Power Pro Kun Pocket 6,GBA,2003,Sports,Konami Digital Entertainment,0,0,0.29,0.01
1748,Far Cry Instincts Evolution,XB,2006,Shooter,Ubisoft,0.06,0.02,0,0
1749,Rune Factory 2: A Fantasy Harvest Moon,DS,2008,Role-Playing,Rising Star Games,0.33,0.03,0.15,0.03
1750,Vancouver 2010 - The Official Video Game of the Olympic Winter Games,PS3,2010,Sports,Sega,0.09,0.2,0,0.07
1751,BeatMania,PS,1998,Simulation,Konami Digital Entertainment,0,0,1.07,0.02
1752,Harukanaru Toki no Naka de 3: Unmei no Meikyuu Aizouban,PSP,2009,Adventure,Tecmo Koei,0,0,0.04,0
1753,NCAA GameBreaker 2003,PS2,2002,Sports,Sony Computer Entertainment,0.11,0.09,0,0.03
1754,Ratchet & Clank: Size Matters,PS2,2008,Platform,Sony Computer Entertainment,0.13,0.1,0.03,0.03
1755,Rayman 3: Hoodlum Havoc,PS2,2003,Platform,Ubisoft,0.14,0.11,0,0.04
1756,Prince of Persia: The Sands of Time,GC,2003,Action,Ubisoft,0.25,0.06,0,0.01
1757,Tokyo Ghoul: Jail,PSV,2015,Racing,Namco Bandai Games,0,0,0.05,0
1758,NBA Live 09,X360,2008,Sports,Electronic Arts,0.5,0.14,0,0.07
1759,Pro Pinball: Big Race USA,PS,1999,Simulation,Take-Two Interactive,0.37,0.25,0,0.04
1760,Digimon World 4,PS2,2005,Role-Playing,Atari,0.08,0.06,0,0.02
1761,NBA 10: The Inside,PSP,2009,Sports,Sony Computer Entertainment,0.07,0,0,0.01
1762,Driver,PS,1999,Action,GT Interactive,3.11,2.8,0.02,0.33
1763,Karaoke Revolution Presents American Idol Encore,Wii,2008,Misc,Konami Digital Entertainment,0.42,0,0,0.03
1764,FIFA Street 3,X360,2008,Sports,Electronic Arts,0.12,0.14,0,0.03
1765,NBA 08,PS3,2007,Sports,Sony Computer Entertainment,0.12,0,0,0.01
1766,The Smurfs 2,WiiU,2013,Platform,Ubisoft,0.04,0.04,0,0.01
1767,Samurai Warriors 2,X360,2006,Action,Tecmo Koei,0.07,0.01,0,0.01
1768,The Mysterious Murasame Castle,NES,1986,Action,Nintendo,0,0,0.57,0
1769,Chibi-Robo! Plug into Adventure!,GC,2005,Adventure,Nintendo,0.23,0.06,0.09,0.01
1770,Kyokugen Dasshutsu ADV: Zennin Shiboudesu,PSV,2012,Adventure,ChunSoft,0,0,0.03,0
1771,Major League Baseball 2K9,PS2,2009,Sports,Spike,0.08,0.06,0,0.02
1772,Monopoly,X360,2008,Misc,Electronic Arts,0.34,0.2,0,0.06
1773,Mortal Kombat vs. DC Universe,X360,2008,Fighting,Midway Games,1.53,0.24,0,0.16
1774,J-League Pro Soccer Club o Tsukurou '04,PS2,2004,Sports,Sega,0,0,0.36,0
1775,We Dance,Wii,2011,Misc,Nordic Games,0,0.17,0,0.02
1776,Hidden Mysteries: Vampire Secrets,DS,2010,Adventure,Astragon,0.06,0.11,0,0.02
1777,Hot Wheels: Stunt Track Challenge,GBA,2004,Racing,THQ,0.32,0.12,0,0.01
1778,Hunter: The Reckoning  Wayward,PS2,2003,Action,Interplay,0.21,0.16,0,0.06
1779,JoJo's Bizarre Adventure: All Star Battle,PS3,2013,Fighting,Namco Bandai Games,0.05,0.02,0.5,0.01
1780,Shin Sangoku Musou Online: Kamishou Ranbu,PS3,2010,Action,Tecmo Koei,0,0,0.03,0
1781,Higurashi no Naku Koro ni Iki,PS3,2015,Action,Kaga Create,0,0,0.01,0
1782,Kazoku Keikaku,PSP,2010,Adventure,CyberFront,0,0,0.02,0
1783,Animaniacs: The Great Edgar Hunt,GC,2005,Platform,Ignition Entertainment,0.02,0.01,0,0
1784,Kung Fu Panda 2,Wii,2011,Action,THQ,0.08,0.05,0,0.01
1785,NBA 2K13,PC,2012,Sports,Take-Two Interactive,0,0.02,0,0
1786,The King of Fighters XIV,PS4,2016,Fighting,Deep Silver,0.04,0.01,0.03,0.01
1787,Defender II,2600,1987,Shooter,Atari,0.42,0.02,0,0
1788,Batman: Rise of Sin Tzu,PS2,2003,Action,Ubisoft,0.17,0.13,0,0.05
1789,Nicktoons Collection: Game Boy Advance Video Volume 2,GBA,2004,Misc,Unknown,0.16,0.06,0,0
1790,Sega Touring Car Championship,SAT,1996,Racing,Sega,0,0,0.11,0
1791,Final Fantasy Crystal Chronicles: Echoes of Time,Wii,2009,Role-Playing,Square Enix,0.13,0.06,0.05,0.02
1792,Juiced 2: Hot Import Nights,X360,2007,Racing,THQ,0.22,0.34,0,0.07
1793,Shin Hayarigami,PS3,2014,Adventure,Nippon Ichi Software,0,0,0.04,0
1794,Wand of Fortune 2 FD: Kimi ni Sasageru Epilogue,PSP,2012,Adventure,Idea Factory,0,0,0.03,0
1795,MLB 16: The Show,PS4,2016,Action,Sony Computer Entertainment,0.68,0,0,0.16
1797,Mace Griffin: Bounty Hunter,XB,2003,Shooter,Electronic Arts,0.08,0.02,0,0
1798,Growlanser Generations,PS2,2003,Role-Playing,Atlus,0.06,0.04,0,0.01
1799,Minna no Ennichi,3DS,2012,Action,Namco Bandai Games,0,0,0.05,0
1800,Savage Skies,PS2,2002,Shooter,Big Ben Interactive,0.04,0.03,0,0.01
1801,Mary King's Riding School,DS,2008,Simulation,Ghostlight,0,0.02,0,0K
1802,Mind Quiz,PSP,2006,Action,Ubisoft,0.08,0.01,0,0.01
1803,The Conveni 4,PS2,2006,Simulation,Hamster Corporation,0,0,0.02,0
1804,Disney's Magical Quest 2 Starring Mickey and Minnie,GBA,2003,Action,Capcom,0.05,0.02,0,0
1805,Hell's Kitchen: The Game,Wii,2008,Simulation,Ubisoft,0.3,0,0,0.03
1806,Hakuouki: Zuisouroku Portable,PSP,2010,Adventure,Idea Factory,0,0,0.09,0
1807,The Sims,GC,2003,Simulation,Electronic Arts,0.35,0.13,0,0.01
1808,Suzumiya Haruhi no Heiretsu,Wii,2009,Adventure,Sega,0,0,0.02,0
1809,Summon Night 3,PSP,2012,Role-Playing,Namco Bandai Games,0,0,0.12,0
1810,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,4.34,2.65,3.15M,0.35
1811,Pokemon Rumble Blast,3DS,2011,Action,Nintendo,0.47,0.26,0.35,0.07
1812,Planet 51,PS3,2009,Action,Sega,0.07,0.03,0,0.02
1813,Space Battleship Yamato: Harukanaru Hoshi Iscandar,PS,1999,Strategy,Namco Bandai Games,0,0,0.16,0.01
1814,Itoi Shigesato no Bass Tsuri No. 1 Ketteihan!,N64,2000,Sports,Nintendo,0,0,0.07,0
1815,Living Legends: Frozen Beauty,PC,2014,Action,Big Fish Games,0,0.03,0,0
1816,The Outfit,X360,2006,Action,THQ,0.21,0.02,0,0.02
1817,Rumble Roses XX,X360,2006,Fighting,Konami Digital Entertainment,0.07,0.01,0.04,0.01
1818,Van Helsing,PS2,2004,Action,Activision,0.22,0.17,0,0.06
1819,Gochuumon wa Usagi Desu ka?? Wonderful Party!,PSV,2016,Adventure,5pb,0,0,0.02,0
1820,Mountain Sports,Wii,2009,Sports,Activision,0.11,0,0,0.01
1821,Just Dance 2015,WiiU,2014,Misc,Ubisoft,0.4,0.28,0,0.07
1822,Sekirei: Mirai Kara no Okurimono,PS2,2009,Adventure,Alchemist,0,0,0.01,0
1823,Final Fantasy III,NES,1990,Role-Playing,SquareSoft,0,0,1.39,0.01
1824,MotoGP 15,XOne,2015,Racing,Milestone S.r.l.,0,0.03,0,0
1825,Tiny Toon Adventures: Wacky Stackers,GBA,2001,Puzzle,Conspiracy Entertainment,0.01,0,0,0
1826,Saban's Power Rangers: Lightspeed Rescue,PS,2000,Action,THQ,0.19,0.13,0,0.02
1827,Sonic Mega Collection Plus,XB,2004,Misc,Sega,0.61,0.26,0,0.04
1828,BioShock Infinite,PC,2013,Shooter,Take-Two Interactive,0.28,0.3,0,0.08
1829,Medal of Honor: European Assault (weekly JP sales),PS2,2005,Shooter,Electronic Arts,0,0,0.05,0
1830,Cabela's African Safari,PSP,2006,Sports,Activision Value,0.04,0,0,0
1831,Cabela's Adventure Camp,X360,2011,Misc,Activision,0.07,0.02,0,0.01
1832,Ray Gigant,PSV,2015,Role-Playing,Namco Bandai Games,0,0,0.04,0
1833,Taiko no Tatsujin Wii: Ketteiban,Wii,2011,Misc,Namco Bandai Games,0,0,0.39,0
1834,Carmen Sandiego: The Secret of the Stolen Drums,XB,2004,Action,BAM! Entertainment,0.02,0.01,0,0
1835,Sid Meier's Civilization Revolution,X360,2008,Strategy,Take-Two Interactive,0.58,0.17,0,0.07
1836,Sega Superstars Tennis,DS,2008,Sports,Sega,0.29,0.37,0,0.08
1837,My Amusement Park,DS,2010,Misc,Scholastic Inc.,0.06,0,0M,0
1838,Trace Memory,DS,2005,Adventure,Nintendo,150K,0.01,0.12,0.01
1839,Devil Survivor: Over Clock,3DS,2015,Strategy,Atlus,0,0,0.02,0
1840,Trivial Pursuit,PS2,2009,Misc,Electronic Arts,0.09,0.01,0,0.17
1841,Tak 2: The Staff of Dreams,GBA,2004,Platform,THQ,0.33,0.12,0,0.01
1842,Tiny Toon Adventures: Toonenstein - Dare to Scare,PS,1998,Action,Swing! Entertainment,0.03,0.02,0,0
1843,Top Spin 4,Wii,2011,Sports,Take-Two Interactive,0.05,0.09,0,0.02
1844,Soukoku no Kusabi: Hiiro no Kakera 3 - Ashita e no Tobira,PSP,2012,Action,Idea Factory,0,0,0.02M,0
1845,Mortimer Beckett and the Secrets of Spooky Manor,Wii,2008,Puzzle,Avanquest,0.04,0,0,0
1846,Monster Trucks DS,DS,2005,Racing,Majesco Entertainment,0.07,0,0,0.01
1847,Monster Hunter Freedom 3,PSP,2010,Role-Playing,Capcom,0,0,4.87,0
1848,Airblade,PS2,2001,Sports,Sony Computer Entertainment,0.11,0.09,0,0.03
1849,Legend of the Guardians: The Owls of Ga'Hoole,PS3,2010,Action,Warner Bros. Interactive Entertainment,0.06,0.01,0,0.01
1850,Cartoon Network: Punch Time Explosion,3DS,2011,Fighting,Deep Silver,0.07,0.02,0,0.01
1851,Heathcliff! Frantic Foto,DS,2010,Misc,Storm City Games,0.04,0,0,0
1852,Rock Band 2,X360,2008,Misc,Electronic Arts,1.78,0.24,0,0.18
1853,Kamen Rider: Dragon Knight,DS,2009,Fighting,D3Publisher,0.05,0,0,0
1854,Flushed Away,GC,2006,Platform,D3Publisher,0.12,0.03,0,0
1855,TalkMan (Japan),PSP,2005,Misc,Sony Computer Entertainment,0,0,0.18,0
1856,Need for Speed (2015),XOne,2015,Racing,Electronic Arts,0.3,0.33,0,0.06
1857,Vexx,XB,2003,Platform,Acclaim Entertainment,0.08,0.02,0,0
1858,NASCAR Thunder 2003,XB,2002,Racing,Electronic Arts,0.2,0.06,0,0.01
1859,Monster House,PS2,2006,Adventure,THQ,0.07,0.05,0,0.02
1860,Driven,PS2,2001,Racing,BAM! Entertainment,0.08,0.06,0,0.02
1861,Eragon,PSP,2006,Action,Vivendi Games,0.1,0,0,0.01
1862,MLB 08: The Show,PS2,2008,Sports,Sony Computer Entertainment,0.35,0.01,0,0.06
1863,Suzumiya Haruhi no Tsuisou,PS3,2011,Adventure,Namco Bandai Games,0,0,0.03,0
1864,Naxat Soft Reachmania Vol. 1: CR Galaxy Angel,PS2,2008,Misc,Naxat Soft,0,0,0.01,0
1865,Metroid II: Return of Samus,GB,1991,Adventure,Nintendo,0.85,0.31,0.56,0.04
1866,Magician's Quest: Mysterious Times,DS,2008,Role-Playing,Konami Digital Entertainment,0.04,0.01,0.48,0
1867,Pro Evolution Soccer 2012,Wii,2011,Action,Konami Digital Entertainment,0.08,0.08,0.03,0.02
1868,Final Fantasy III,SNES,1994,Role-Playing,SquareSoft,0.86,0,2.55,0.02
1869,Hydro Thunder,PS,1999,Racing,Midway Games,0.26,0.17,0,0.03
1870,Cars: Race-O-Rama,DS,2009,Racing,THQ,0.35,0.09,0,0.04
1871,Majin Tensei,SNES,1994,Role-Playing,Atlus,0,0K,0.08,0
1872,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33
1873,Pe-Jongju to Manabu Kankokugo DS: Test-Hen,DS,2010,Misc,D3Publisher,0,0,0.02,0
1874,Hot Shots Tennis: Get a Grip,PSP,2010,Sports,Sony Computer Entertainment,0.06,0,0.13,0.01
1875,Monster High: Ghoul Spirit,DS,2011,Misc,THQ,0.72,0.17,0,0.07
1876,Kirby's Block Ball,GB,1995,Puzzle,Nintendo,0,0,0.32,0
1877,Tomb Raider: Anniversary,PC,2007,Action,Eidos Interactive,0,0.03,0,0.01
1878,Daito Giken Koushiki Pachi-Slot Simulator Hihouden: Taiyou o Motomeru Monotachi,PS3,2013,Misc,Paon Corporation,0,0,0.03,0
1880,Urban Chaos: Riot Response,XB,2006,Shooter,Eidos Interactive,0.01,0,0,0
1881,Silent Scope,GBA,2002,Shooter,Konami Digital Entertainment,0.02,0.01,0,0
1882,FIFA 15,PSV,2014,Sports,Electronic Arts,0.13M,0.48,0.04,0.19
1883,Hero Bank 2,3DS,2014,Role-Playing,Sega,0,0,0.05,0
1885,Rugby 15,PS4,2015,Sports,Bigben Interactive,0.03,0.06,0,0.02
1886,Octomania,Wii,2007,Puzzle,Midas Interactive Entertainment,0.06,0,0,0
1887,GT64 Championship Edition,N64,1998,Racing,Ocean,0.08,0.02,0,0
1888,After Hours Athletes,PS3,2011,Sports,Sony Computer Entertainment,0,0.1,0,0.03
1889,G Darius,PS,1997,Shooter,THQ,0.04,0.03,0,0
1890,Zoop,PS,1995,Puzzle,MediaQuest,0.03,0.02,0,0
1891,FIFA Soccer 10,DS,2009,Sports,Electronic Arts,0.14,0.37,0,0.07
1892,Great Phoenix Wright: Ace Attorney - Naruhodou Ryuunosuke no Bouken,3DS,2015,Action,Capcom,0,0,0.19,0
1893,BIT.TRIP COMPLETE,Wii,2011,Misc,Rising Star Games,0.06,0.02,0,0.01
1894,Bayonetta 2,WiiU,2014,Action,Nintendo,0.34,0.28,0.1,0.3
1895,Heart no Kuni no Alice,PSP,2009,Adventure,Prototype,0,0M,0.01,0
1896,The BIGS,PS3,2007,Sports,Take-Two Interactive,0.15,0,0,0.01
1897,Zathura,XB,2005,Adventure,Take-Two Interactive,0.02,0,0,0
1898,Infinite Stratos 2: Ignition Hearts,PS3,2014,Adventure,5pb,0,0,0.03,0
1899,SpongeBob's Truth or Square,PSP,2009,Action,THQ,0.02,0.04,0,0.01
1900,NHL Blades of Steel 2000,PS,1999,Sports,Konami Digital Entertainment,0.02,0.01,0,0
1901,Fighting Force 2,PS,1999,Action,Eidos Interactive,0.31,0.21,0,0.04
1902,Tomb Raider: Underworld,PC,2008,Action,Eidos Interactive,0,0.06,0,0.02
1904,Dr. Muto,XB,2002,Platform,Midway Games,0.04,0.01,0K,0
1905,Assassin's Creed III: Liberation,PSV,2012,Action,Ubisoft,0.58,0.55,0.06,0.28
1906,Neo Atlas,PS,1998,Strategy,ArtDink,0,0,0.09,0.01
1907,NFL GameDay 2002,PS,2001,Sports,Sony Computer Entertainment,0.23,0.15,0,0.03
1908,Ninja Blade,X360,2009,Action,Microsoft Game Studios,0.14,0.14,0.02,0.03
1909,Fairy Tail: Portable Guild 2,PSP,2011,Fighting,Konami Digital Entertainment,0,0,0.08,0
1910,Ape Escape,PS,1999,Platform,Sony Computer Entertainment,0.71,0.48,0.32,0.11
1911,Hatsune Miku: Project Mirai 2,3DS,2013,Action,Sega,0,0,0.22,0
1912,SBK 2011: FIM Superbike World Championship,PS3,2011,Racing,Black Bean Games,0.01,0.1,0,0.03
1913,Pro Yakyuu Famista DS 2010,DS,2010,Sports,Namco Bandai Games,0,0,0.08,0
1914,Medal of Honor Heroes,PSP,2006,Shooter,Electronic Arts,0.86,1.11,0.01,0.66
1915,Detana TwinBee Yahho! Deluxe Pack,PS,1995,Shooter,Konami Digital Entertainment,0,0,0.08,0.01
1916,Angelique Retour,PSV,2015,Action,Tecmo Koei,0,0,0.02,0
1917,Ferrari Challenge Trofeo Pirelli Deluxe,Wii,2009,Racing,System 3 Arcade Software,0,0.02,0,0
1918,Puyo Puyo Tetris,PSV,2014,Puzzle,Sega,0,0,0.05,0
1919,MotorStorm RC,PSV,2012,Racing,Sony Computer Entertainment,0,0.05,0,0.02
1920,Amnesia Later,PSP,2012,Misc,Idea Factory,0,0,0.05,0
1921,Garfield: Lasagna World Tour,PS2,2007,Action,Blast! Entertainment Ltd,0.08,0.06,0,0.02
1922,Call of Duty 2,PC,2005,Shooter,Activision,0K,0.05,0,0.01
1923,Major League Baseball 2K9,Wii,2009,Sports,Take-Two Interactive,0.25,0,0,0.02
1924,Kawasaki Quad Bikes,Wii,2007,Racing,Data Design Interactive,0.07,0.01,0,0.01
1925,Pokemon Mystery Dungeon: Explorers of Sky,DS,2009,Role-Playing,Nintendo,0.58,0.44,0.44,0.12
1926,Jeopardy!,PS,1997,Misc,Hasbro Interactive,0.39,0.27,0,0.05
1927,The Fairly Odd Parents: Breakin Da Rules,PS2,2003,Platform,THQ,0.33,0.25,0,0.09
1928,MapleStory DS,DS,2010,Role-Playing,Nexon,0,0,0.03,0
1929,A.C.E.: Another Century's Episode Portable,PSP,2011,Simulation,Namco Bandai Games,0,0,0.12,0
1930,X-Men Legends,PS2,2004,Role-Playing,Activision,1,0.72,0,0.21
1931,Song of the Deep,PS4,2016,Action,Insomniac Games,0.05M,0,0,0.01
1932,Danganronpa: Trigger Happy Havoc,PSV,2013,Misc,Nippon Ichi Software,0.14,0.07,0.15,0.06
1933,XGRA: Extreme G-Racing Association,PS2,2004,Racing,Eidos Interactive,0.3,0.24,0,0.08
1934,Soccer Tsuku: Pro Soccer Club o Tsukurou!,PSV,2013,Sports,Sega,0,0,0.07,0
1935,MediEvil,PS,1998,Platform,Sony Computer Entertainment,0.46,0.31,0,0.05
1936,Angry Birds: Rio,PC,2011,Puzzle,Focus Home Interactive,0,0.07,0,0.02
1937,Family Feud: 2012 Edition,X360,2011,Misc,Ubisoft,0.1,0,0,0.01
1938,Dai-2-Ji Super Robot Taisen Z: Hakai-hen,PSP,2011,Strategy,Banpresto,0,0,0.42,0
1939,Burger Island,DS,2008,Action,Destineer,0.15,0,0,0.01
1940,Super Monkey Ball Deluxe,XB,2005,Misc,Sega,0.11,0.03,0,0.01
1941,50 Classic Games,DS,2009,Misc,Destineer,0.52,0,0,0.04
1942,Sengoku Basara: Samurai Heroes,PS3,2010,Action,Capcom,0.17,0.04,0.4,0.03
1943,Wantame Music Channel: Doko Demo Style,DS,2007,Misc,Capcom,0,0,0.13,0
1944,Dead or Alive 2,PS2,2000,Fighting,Tecmo Koei,0.3,0.24,0.38,0.08
1945,Dynasty Warriors: Strikeforce,X360,2009,Action,Tecmo Koei,0.13,0.06,0.02,0.02
1946,Injustice: Gods Among Us,WiiU,2013,Fighting,Warner Bros. Interactive Entertainment,0.1,0.08,0,0.02
1947,NFL Blitz 20-03,XB,2002,Sports,Midway Games,0.11,0.03,0,0.01
1948,R-Type Final,PS2,2003,Shooter,Metro 3D,0.09,0.07,0,0.02
1949,Need for Speed: ProStreet,PSP,2008,Racing,Electronic Arts,0.24,0.33,0.01,0.2
1950,Advance Wars 2: Black Hole Rising,GBA,2003,Strategy,Nintendo,0.47,0.17,0,0.01
1951,Still Life,XB,2005,Adventure,Microids,0.05,0.02,0,0
1952,Gradius,NES,1986,Shooter,Konami Digital Entertainment,0.27,0.08,1,0.01
1953,Naruto: Ninja Council 2 European Version,DS,2005,Fighting,Tomy Corporation,0,0,0.23,0
1954,Red Faction: Armageddon,PS3,2011,Shooter,THQ,0.2,0.16,0.03,0.07
1955,Spider-Man: Web of Shadows,PC,2008,Action,Activision,0,0.02,0,0
1956,Vegas Casino,DS,2007,Misc,Neko Entertainment,0.03,0,0,0
