,Name,Platform,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales
4551,Food Network: Cook or Be Cooked,Wii,2009,Misc,0.41,0.0,0.0,0.03
4552,Football Academy,DS,2009,Sports,0.0,0.01,0.0,0.0
4553,Football Director DS,DS,2008,Sports,0.0,0.1,0.0,0.0
4554,Football Manager 2005,PC,2004,Sports,0.0,0.01,0.0,0.0
4555,Football Manager 2010,PC,2009,Sports,0.0,0.06,0.0,0.01
4556,Football Manager 2011,PC,2010,Sports,0.0,1.01,0.0,0.25
4557,Football Manager 2012,PC,2011,Sports,0.02,1.16,0.0,0.34
4558,Football Manager 2012,PSP,2011,Sports,0.0,0.1,0.0,0.04
4559,Football Manager 2013,PC,2012,Sports,0.0,0.95,0.0,0.22
4560,Football Manager 2014,PC,2013,Sports,0.0,0.6,0.0,0.1
4561,Football Manager 2014,PSV,2013,Sports,0.0,0.1,0.0,0.04
4562,Football Manager 2015,PC,2014,Simulation,0.0,0.43,0.0,0.05
4563,Football Manager 2016,PC,2015,Simulation,0.0,0.29,0.0,0.02
4564,Football Manager Handheld 2008,PSP,2007,Sports,0.0,0.34,0.0,0.0
4565,Football Manager Handheld 2009,PSP,2008,Sports,0.0,0.47,0.0,0.02
4566,Football Manager Handheld 2010,PSP,2009,Sports,0.0,0.26,0.0,0.09
4567,Football Manager Handheld 2011,PSP,2010,Sports,0.0,0.28,0.0,0.14
4568,Football Manager Live,PC,2009,Sports,0.0,0.01,0.0,0.0
4569,Forbidden Siren 2,PS2,2006,Action,0.0,0.0,0.08,0.0
4570,Ford Bold Moves Street Racing,PSP,2006,Racing,0.04,0.0,0.0,0.0
4571,Ford Mustang: The Legend Lives,PS2,2005,Racing,0.14,0.11,0.0,0.04
4572,Ford Mustang: The Legend Lives,XB,2005,Racing,0.07,0.02,0.0,0.0
4573,Ford Racing,PS,2001,Racing,0.48,0.33,0.0,0.06
4574,Ford Racing 2,PS2,2003,Racing,0.49,0.38,0.0,0.13
4575,Ford Racing 2,XB,2003,Racing,0.11,0.03,0.0,0.01
4576,Ford Racing 3,DS,2005,Racing,0.09,0.0,0.0,0.01
4577,Ford Racing 3,PS2,2004,Racing,0.13,0.1,0.0,0.03
4578,Ford Racing 3,XB,2004,Racing,0.07,0.02,0.0,0.0
4579,Ford Racing Off Road,PS2,2008,Racing,0.1,0.08,0.0,0.03
4580,Ford Racing Off Road,PSP,2008,Racing,0.05,0.08,0.0,0.02
4581,Ford Racing Off Road,Wii,2008,Racing,0.06,0.4,0.0,0.01
4582,Ford vs. Chevy,PS2,2005,Racing,0.11,0.09,0.0,0.03
4583,Ford vs. Chevy,XB,2005,Racing,0.06,0.02,0.0,0.0
4584,Forever Kingdom,PS2,2001,Role-Playing,0.02,0.02,0.04,0.01
4585,Forgotten Realms: Demon Stone,PS2,2004,Action,0.1,0.08,0.0,0.03
4586,Forgotten Realms: Demon Stone,XB,2004,Action,0.06,0.02,0.0,0.0
4587,Formula 1,PS,1996,Racing,0.18,0.12,0.42,0.05
4588,Formula 1 06,PS2,2006,Racing,0.0,0.0,0.04,0.0
4589,Formula 1 Championship Edition,PS,1997,Racing,0.06,0.04,0.23,0.02
4590,Formula 1: Championship Edition,PS3,2006,Racing,0.0,0.57,0.04,0.0
4591,Formula One 2001,PS2,2001,Racing,0.13,0.1,0.0,0.03
4592,Formula One World Championship: Beyond the Limit,SCD,1994,Racing,0.0,0.0,0.07,0.0
4593,Forsaken,PS,1998,Shooter,0.13,0.09,0.0,0.02
4594,Fortress,GBA,2001,Action,0.23,0.08,0.0,0.01
4595,Fortune Street,Wii,2011,Misc,0.27,0.04,0.17,0.02
4596,Forza Horizon,X360,2012,Racing,0.82,0.98,0.04,0.18
4597,Forza Horizon 2,X360,2014,Racing,0.35,0.43,0.0,0.07
4598,Forza Horizon 2,XOne,2014,Racing,0.5,0.78,0.01,0.09
4599,Forza Horizon 3,XOne,2016,Racing,0.15,0.2,0.0,0.03
4600,Forza Motorsport,XB,2005,Racing,0.52,0.51,0.0,0.02
4601,Forza Motorsport 2,X360,2007,Racing,2.35,1.28,0.03,0.41
4602,Forza Motorsport 3,X360,2009,Racing,2.99,1.92,0.1,0.51
4603,Forza Motorsport 3: Ultimate Edition,X360,2010,Racing,0.0,0.04,0.0,0.01
4604,Forza Motorsport 4,X360,2011,Racing,2.08,2.04,0.06,0.47
4605,Forza Motorsport 5,XOne,2013,Racing,1.21,0.78,0.01,0.17
4606,Forza Motorsport 6,XOne,2015,Racing,0.69,0.89,0.03,0.14
4607,Fossil Fighters,DS,2008,Role-Playing,0.84,0.0,0.0,0.06
4608,Fossil Fighters (JP sales),DS,2008,Role-Playing,0.0,0.0,0.3,0.0
4609,Fossil Fighters: Champions,DS,2010,Role-Playing,0.32,0.0,0.34,0.02
4610,Fossil Fighters: Frontier,3DS,2014,Role-Playing,0.08,0.04,0.23,0.01
4611,Foster's Home for Imaginary Friends: Imagination Invaders,DS,2007,Adventure,0.06,0.0,0.0,0.0
4612,Foto Frenzy: Spot The Diffrence,DS,2009,Puzzle,0.29,0.0,0.0,0.02
4613,Foto Showdown,DS,2010,Role-Playing,0.03,0.0,0.0,0.0
4614,Fox Sports College Hoops '99,N64,1998,Sports,0.2,0.05,0.0,0.0
4615,Fox Sports Golf '99,PS,1997,Sports,0.08,0.05,0.0,0.01
4616,FoxKids.com Micro Maniacs Racing,PS,2000,Racing,0.06,0.04,0.0,0.01
4617,Fracture,PS3,2008,Shooter,0.11,0.04,0.0,0.02
4618,Fracture,X360,2008,Shooter,0.15,0.14,0.0,0.04
4619,Fragile Dreams: Farewell Ruins of the Moon,Wii,2009,Role-Playing,0.17,0.12,0.06,0.03
4620,Frank Thomas Big Hurt Baseball,PS,1996,Sports,0.08,0.05,0.0,0.01
4621,Frankenstein's Monster,2600,1982,Action,0.3,0.02,0.0,0.0
4622,Franklin the Turtle,GBA,2005,Misc,0.02,0.01,0.0,0.0
4623,Franklin's Great Adventures,DS,2006,Action,0.02,0.0,0.0,0.0
4624,Franklin: A Birthday Surprise,PS2,2006,Misc,0.01,0.01,0.0,0.0
4625,Frantix,PSP,2005,Puzzle,0.08,0.0,0.0,0.01
4626,Freaky Flyers,PS2,2003,Racing,0.05,0.04,0.0,0.01
4627,Freaky Flyers,XB,2003,Racing,0.02,0.01,0.0,0.0
4628,Freddi Fish: ABC under the sea,DS,2008,Misc,0.13,0.0,0.0,0.01
4629,Freddi Fish: Kelp Seed Mystery,Wii,2008,Adventure,0.06,0.0,0.0,0.0
4630,Free Running,Wii,2009,Sports,0.02,0.02,0.0,0.0
4631,Freedom Fighters,GC,2003,Shooter,0.1,0.03,0.0,0.0
4632,Freedom Fighters,PS2,2003,Shooter,0.25,0.2,0.0,0.07
4633,Freedom Fighters,XB,2003,Shooter,0.17,0.05,0.0,0.01
4634,Freedom Wars,PSV,2014,Role-Playing,0.22,0.14,0.32,0.1
4635,Freekstyle,GBA,2003,Racing,0.01,0.0,0.0,0.0
4636,Freekstyle,GC,2002,Racing,0.07,0.02,0.0,0.0
4637,Freekstyle,PS2,2002,Racing,0.52,0.41,0.0,0.14
4638,Freelancer,PC,2003,Simulation,0.02,0.02,0.0,0.01
4639,Freestyle Metal X,GC,2003,Racing,0.01,0.0,0.0,0.0
4640,Freestyle Metal X,PS2,2003,Racing,0.04,0.03,0.0,0.01
4641,Freestyle Metal X,XB,2003,Racing,0.02,0.0,0.0,0.0
4642,Freeway,2600,1980,Action,0.32,0.02,0.0,0.0
4643,Frequency,PS2,2001,Misc,0.09,0.07,0.0,0.02
4644,Fresh PreCure! Asobi Collection,DS,2009,Action,0.0,0.0,0.09,0.0
4645,Freshly-Picked: Tingle's Rosy Rupeeland,DS,2006,Role-Playing,0.0,0.01,0.24,0.0
4646,Friend Collection,DS,2009,Misc,0.0,0.0,3.67,0.0
4647,Friends: The One with All the Trivia,PS2,2005,Misc,0.03,0.02,0.0,0.01
4648,Frisbee Disc Freestyle / Frisbee Disc Golf,DS,2007,Sports,0.02,0.0,0.0,0.0
4649,Fritz Chess,DS,2009,Strategy,0.02,0.0,0.0,0.0
4650,Fritz Chess,PS3,2009,Strategy,0.0,0.03,0.0,0.01
4651,Fritz Chess,Wii,2009,Strategy,0.02,0.01,0.0,0.0
4652,Frogger,2600,1981,Action,2.06,0.12,0.0,0.02
4653,Frogger,PS,1997,Action,3.79,0.27,0.0,0.11
4654,Frogger 2: Swampy's Revenge,PS,1999,Action,0.8,0.54,0.0,0.09
4655,Frogger 3D,3DS,2011,Action,0.16,0.03,0.0,0.01
4656,Frogger Advance: The Great Quest,GBA,2002,Action,0.05,0.02,0.0,0.0
4657,Frogger Beyond,GC,2002,Platform,0.1,0.03,0.0,0.0
4658,Frogger Beyond,XB,2002,Platform,0.06,0.02,0.0,0.0
4659,Frogger II: Threeedeep!,2600,1983,Action,0.31,0.02,0.0,0.0
4660,Frogger's Adventures 2: The Lost Wand,GBA,2002,Adventure,0.14,0.05,0.0,0.0
4661,Frogger's Adventures: The Rescue,GC,2003,Platform,0.12,0.03,0.0,0.0
4662,Frogger's Adventures: The Rescue,PS2,2003,Platform,0.16,0.12,0.0,0.04
4663,Frogger's Journey: The Forgotten Relic,GBA,2003,Action,0.18,0.07,0.0,0.0
4664,Frogger: Ancient Shadow,GC,2005,Platform,0.04,0.01,0.0,0.0
4665,Frogger: Ancient Shadow,PS2,2005,Platform,0.05,0.04,0.0,0.01
4666,Frogger: Ancient Shadow,XB,2005,Platform,0.02,0.01,0.0,0.0
4667,Frogger: Helmet Chaos,DS,2005,Platform,0.06,0.0,0.0,0.0
4668,Frogger: Helmet Chaos,PSP,2005,Platform,0.1,0.0,0.0,0.01
4669,Frogger: The Great Quest,PS2,2001,Platform,0.6,0.47,0.0,0.16
4670,Frogs And Flies,2600,1981,Action,0.33,0.02,0.0,0.0
4671,From Russia With Love,GC,2005,Action,0.17,0.04,0.0,0.01
4672,From Russia With Love,PS2,2005,Action,0.34,0.01,0.0,0.06
4673,From Russia With Love,PSP,2006,Action,0.07,0.01,0.0,0.01
4674,From Russia With Love,XB,2005,Action,0.15,0.04,0.0,0.01
4675,From TV Animation One Piece: Grand Battle 2,PS,2002,Fighting,0.0,0.0,0.56,0.04
4676,From TV Animation One Piece: Grand Battle! 3,GC,2003,Fighting,0.0,0.0,0.2,0.01
4677,From TV Animation One Piece: Grand Battle! 3,PS2,2003,Fighting,0.0,0.0,0.32,0.0
4678,From TV Animation One Piece: Tobidase Kaizokudan!,PS,2001,Role-Playing,0.0,0.0,0.32,0.02
4679,From TV Animation One Piece: Treasure Battle!,GC,2002,Fighting,0.0,0.0,0.28,0.01
4680,From TV Animation One Piece: Yume no Lufy Kaizokudan Tanjou!,GB,2001,Role-Playing,0.0,0.0,0.39,0.0
4681,From The Abyss,DS,2008,Role-Playing,0.06,0.0,0.0,0.0
4682,Front Line,2600,1981,Action,0.22,0.01,0.0,0.0
4683,Front Mission,DS,2007,Strategy,0.01,0.0,0.03,0.0
4684,Front Mission,SNES,1995,Strategy,0.0,0.0,0.6,0.0
4685,Front Mission 2,PS,1997,Strategy,0.0,0.0,0.49,0.03
4686,Front Mission 2089: Border of Madness,DS,2008,Strategy,0.0,0.0,0.05,0.0
4687,Front Mission 3,PS,1999,Strategy,0.1,0.07,0.31,0.03
4688,Front Mission 4,PS2,2003,Strategy,0.14,0.11,0.25,0.04
4689,Front Mission 5: Scars of the War,PS2,2005,Strategy,0.0,0.0,0.21,0.0
4690,Front Mission Alternative,PS,1997,Strategy,0.0,0.0,0.13,0.01
4691,Front Mission Evolved,PC,2010,Shooter,0.05,0.0,0.0,0.0
4692,Front Mission Evolved,PS3,2010,Shooter,0.09,0.07,0.11,0.03
4693,Front Mission Evolved,X360,2010,Shooter,0.1,0.07,0.02,0.02
4694,Front Mission: Gun Hazard,SNES,1996,Role-Playing,0.0,0.0,0.24,0.0
4695,Frontier Gate,PSP,2011,Role-Playing,0.0,0.0,0.11,0.0
4696,Frontlines: Fuel of War,PC,2008,Shooter,0.0,0.02,0.0,0.0
4697,Frontlines: Fuel of War,X360,2008,Shooter,0.34,0.15,0.01,0.05
4698,Frostbite,2600,1983,Action,0.32,0.02,0.0,0.0
4699,Frozen: Olaf's Quest,3DS,2013,Platform,0.27,0.26,0.0,0.05
4700,Frozen: Olaf's Quest,DS,2013,Platform,0.28,0.35,0.0,0.06
4701,Fuel,PC,2009,Racing,0.0,0.02,0.0,0.0
4702,Fuel,PS3,2009,Racing,0.08,0.12,0.0,0.05
4703,Fuel,X360,2009,Racing,0.09,0.19,0.0,0.04
4704,Fugitive Hunter: War on Terror,PS2,2003,Shooter,0.07,0.06,0.0,0.02
4705,Fujiko F. Fujio Characters: Great Assembly! Slightly Fantastic Slapstick Party,3DS,2014,Action,0.0,0.0,0.01,0.0
4706,Full Auto,X360,2006,Shooter,0.19,0.01,0.0,0.02
4707,Full Auto 2: Battlelines,PS3,2006,Racing,0.14,0.02,0.0,0.02
4708,Full Auto 2: Battlelines,PSP,2007,Racing,0.0,0.01,0.0,0.0
4709,Full House Kiss 2,PS2,2006,Adventure,0.0,0.0,0.02,0.0
4710,Full Spectrum Warrior,PS2,2005,Strategy,0.15,0.11,0.0,0.04
4711,Full Spectrum Warrior,XB,2004,Strategy,0.54,0.16,0.0,0.03
4712,Full Spectrum Warrior: Ten Hammers,PS2,2006,Strategy,0.03,0.02,0.0,0.01
4713,Full Spectrum Warrior: Ten Hammers,XB,2006,Strategy,0.03,0.01,0.0,0.0
4714,Fullmetal Alchemist 2: Curse of the Crimson Elixir,PS2,2004,Role-Playing,0.13,0.1,0.0,0.03
4715,Fullmetal Alchemist and the Broken Angel,PS2,2003,Role-Playing,0.15,0.12,0.26,0.04
4716,Fullmetal Alchemist: Dual Sympathy,DS,2005,Role-Playing,0.05,0.0,0.04,0.0
4717,Fullmetal Alchemist: Prince of the Dawn,Wii,2009,Adventure,0.0,0.0,0.01,0.0
4718,Fullmetal Alchemist: Trading Card Game,DS,2007,Misc,0.01,0.0,0.0,0.0
4719,FunkMaster Flex's Digital Hitz Factory,PS2,2003,Misc,0.02,0.01,0.0,0.0
4720,Funky Barn,3DS,2012,Simulation,0.07,0.03,0.0,0.01
4721,Fur Fighters: Viggo's Revenge,PS2,2001,Action,0.07,0.05,0.0,0.02
4722,Furious Karting,XB,2003,Racing,0.01,0.0,0.0,0.0
4723,Furu Furu Park,Wii,2007,Misc,0.05,0.0,0.0,0.0
4724,Fuse (Insomniac),PS3,2013,Shooter,0.06,0.04,0.0,0.02
4725,Fuse (Insomniac),X360,2013,Shooter,0.08,0.04,0.0,0.01
4726,Fushigi no Dungeon: Furai no Shiren 2 - Oni Shuurai! Shiren Shiro!,N64,2000,Role-Playing,0.0,0.0,0.32,0.05
4727,Fushigi no Dungeon: Fuurai no Shiren 3 Portable,PSP,2010,Role-Playing,0.0,0.0,0.05,0.0
4728,Fushigi no Dungeon: Fuurai no Shiren 5 - Fortune Tower to Unmei no Dice,DS,2010,Role-Playing,0.0,0.0,0.04,0.0
4729,Fushigi no Dungeon: Fuurai no Shiren GB: Tsukikagemura no Kaibutsu,GB,1996,Role-Playing,0.0,0.0,0.27,0.0
4730,Fushigi? Kagaku: Nazotoki Quiz Training - NazoTore,DS,2008,Misc,0.0,0.0,0.05,0.0
4731,Futurama,PS2,2003,Platform,0.04,0.03,0.0,0.01
4732,Futurama,XB,2003,Platform,0.03,0.01,0.0,0.0
4733,Future Card Buddy Fight: Yuujou no Bakunetsu Fight,3DS,2015,Action,0.0,0.0,0.07,0.0
4734,Future Cop L.A.P.D.,PS,1997,Simulation,0.16,0.11,0.0,0.02
4735,Future Tactics: The Uprising,GC,2004,Strategy,0.02,0.0,0.0,0.0
4736,Future Tactics: The Uprising,PS2,2004,Strategy,0.03,0.03,0.0,0.01
4737,Future Tactics: The Uprising,XB,2004,Strategy,0.02,0.01,0.0,0.0
4738,Fuun Shinsengumi Bakumatsuden Portable,PSP,2009,Action,0.01,0.0,0.0,0.0
4739,Fuuraiki 3,PSV,2015,Action,0.0,0.0,0.01,0.0
4740,Fuzion Frenzy,XB,2001,Misc,0.93,0.24,0.0,0.04
4741,Fuzion Frenzy 2,X360,2007,Misc,0.14,0.01,0.0,0.01
4742,G Darius,PS,1997,Shooter,0.04,0.03,0.0,0.0
4743,G-Force,DS,2009,Action,0.27,0.23,0.0,0.06
4744,G-Force,PS2,2009,Action,0.12,0.01,0.0,0.14
4745,G-Force,PS3,2009,Action,0.13,0.06,0.0,0.03
4746,G-Force,PSP,2009,Action,0.24,0.07,0.0,0.05
4747,G-Force,Wii,2009,Action,0.19,0.2,0.0,0.05
4748,G-Force,X360,2009,Action,0.11,0.05,0.0,0.01
4749,G-Police,PS,1997,Action,0.13,0.09,0.0,0.02
4750,G-Police: Weapons of Justice,PS,1999,Action,0.03,0.02,0.0,0.0
4751,G-Saviour,PS2,2000,Action,0.0,0.0,0.07,0.0
4752,G.I. Joe: The Rise of Cobra,DS,2009,Action,0.11,0.01,0.0,0.01
4753,G.I. Joe: The Rise of Cobra,PS2,2009,Action,0.11,0.0,0.0,0.03
4754,G.I. Joe: The Rise of Cobra,PS3,2009,Action,0.11,0.07,0.0,0.03
4755,G.I. Joe: The Rise of Cobra,PSP,2009,Action,0.11,0.02,0.0,0.02
4756,G.I. Joe: The Rise of Cobra,Wii,2009,Action,0.17,0.03,0.0,0.02
4757,G.I. Joe: The Rise of Cobra,X360,2009,Action,0.17,0.05,0.0,0.02
4758,G1 Grand Prix,3DS,2012,Action,0.0,0.0,0.05,0.0
4759,G1 Jockey 2,PS2,2000,Sports,0.0,0.0,0.06,0.0
4760,G1 Jockey 3,PS2,2002,Sports,0.02,0.01,0.07,0.0
4761,G1 Jockey 4 2007,PS2,2007,Sports,0.0,0.0,0.01,0.0
4762,G1 Jockey 4 2008,PS3,2008,Sports,0.0,0.01,0.0,0.0
4763,G1 Jockey Wii,Wii,2007,Sports,0.0,0.01,0.02,0.0
4764,GA - Geijutsuka Art Design Class: Slapstick Wonder Land,PSP,2010,Adventure,0.0,0.0,0.02,0.0
4765,GRID,PS3,2008,Racing,0.31,0.57,0.03,0.2
4766,GRID,X360,2008,Racing,0.33,0.44,0.01,0.09
4767,GRID 2,PC,2013,Racing,0.0,0.06,0.0,0.01
4768,GRID 2,PS3,2013,Racing,0.07,0.23,0.01,0.09
4769,GRID 2,X360,2013,Racing,0.08,0.17,0.0,0.03
4770,GRID Autosport,PC,2014,Racing,0.0,0.02,0.0,0.0
4771,GRID Autosport,PS3,2014,Racing,0.05,0.11,0.01,0.04
4772,GRID Autosport,X360,2014,Racing,0.03,0.06,0.0,0.01
4773,GT Advance 2: Rally Racing,GBA,2001,Racing,0.08,0.03,0.0,0.0
4774,GT Advance 3: Pro Concept Racing,GBA,2002,Racing,0.05,0.02,0.0,0.0
4775,GT Advance Championship Racing,GBA,2001,Racing,0.24,0.09,0.0,0.01
4776,GT Legends,PC,2005,Racing,0.0,0.02,0.0,0.0
4777,GT Pro Series,Wii,2006,Racing,0.46,0.01,0.02,0.04
4778,GT64 Championship Edition,N64,1998,Racing,0.08,0.02,0.0,0.0
4779,GTI Club: Supermini Festa!,Wii,2010,Racing,0.01,0.0,0.0,0.0
4780,GTR Evolution,PC,2008,Racing,0.0,0.02,0.0,0.01
4781,Gabrielle's Ghostly Groove 3D,3DS,2011,Adventure,0.08,0.02,0.0,0.01
4782,Gacharoku,PS2,2002,Misc,0.0,0.0,0.03,0.0
4783,GachiTora! Abarenbou Kyoushi in High School,PSP,2011,Action,0.0,0.0,0.05,0.0
4784,Gadget Racers,PS2,2000,Racing,0.04,0.03,0.0,0.01
4785,Gadget Racers (PAL),PS2,2002,Racing,0.0,0.0,0.02,0.0
4786,Gaia Saver Hero Saidai no Sakusen,SNES,1994,Role-Playing,0.0,0.0,0.03,0.0
4787,Gaist Crusher,3DS,2013,Action,0.0,0.0,0.05,0.0
4788,Gaist Crusher God,3DS,2014,Action,0.0,0.0,0.02,0.0
4789,Gakken DS: Shin TOEIC Test Kanzen Kouryaku,DS,2007,Misc,0.0,0.0,0.02,0.0
4790,Gaku ? Ou: The Royal Seven Stars,PSP,2012,Role-Playing,0.0,0.0,0.02,0.0
4791,Gakuen Alice: WakuWaku * Happy Friends,DS,2007,Adventure,0.0,0.0,0.03,0.0
4792,Gakuen Hetalia,DS,2012,Adventure,0.0,0.0,0.01,0.0
4793,Gakuen Hetalia Portable,PSP,2011,Adventure,0.0,0.0,0.04,0.0
4794,Gakuen K: Wonderful School Days,PSP,2014,Adventure,0.0,0.0,0.02,0.0
4795,Gakusen Toshi Asterisk Festa: Houka Kenran,PSV,2016,Fighting,0.0,0.0,0.03,0.0
4796,Gal Gun,PS3,2012,Shooter,0.0,0.0,0.02,0.0
4797,Gal Gun: Double Peace,PSV,2015,Action,0.0,0.02,0.01,0.0
4798,Gal*Gun,X360,2011,Shooter,0.0,0.0,0.04,0.0
4799,Galactic Attack,SAT,1994,Shooter,0.0,0.0,0.25,0.0
4800,Galactic Taz Ball,DS,2010,Platform,0.09,0.0,0.0,0.01
4801,Galactic Wrestling: Featuring Ultimate Muscle,PS2,2004,Fighting,0.03,0.02,0.17,0.01
4802,Galaga: Destination Earth,PS,2000,Shooter,0.13,0.09,0.0,0.02
4803,Galaxian,2600,1982,Shooter,0.72,0.05,0.0,0.01
4804,Galaxy Angel II: Eigou Kaiki no Koku,PS2,2009,Strategy,0.0,0.0,0.02,0.0
4805,Galaxy Angel II: Mugen Kairou no Kagi,PS2,2007,Strategy,0.0,0.0,0.03,0.0
4806,Galaxy Angel II: Zettairyouiki no Tobira,PS2,2006,Strategy,0.0,0.0,0.03,0.0
4807,Galaxy Fight,SAT,1994,Fighting,0.0,0.0,0.04,0.0
4808,Galaxy Racers,DS,2010,Racing,0.04,0.0,0.0,0.0
4809,Gale Racer,SAT,1994,Racing,0.0,0.0,0.07,0.0
4810,Galerians,PS,1999,Adventure,0.08,0.06,0.0,0.01
4811,Galerians: Ash,PS2,2002,Adventure,0.03,0.03,0.0,0.01
4812,Galidor: Defenders of the Outer Dimension,GBA,2002,Action,0.09,0.03,0.0,0.0
4813,Galileo,DS,2008,Adventure,0.0,0.0,0.03,0.0
4814,Galleon: Islands of Mystery,XB,2004,Action,0.02,0.01,0.0,0.0
4815,Gallop & Ride!,Wii,2008,Sports,0.14,0.0,0.0,0.01
4816,Gallop Racer,PS,1999,Sports,0.0,0.0,0.18,0.01
4817,Gallop Racer (JP),PS,1996,Sports,0.04,0.03,0.16,0.02
4818,Gallop Racer 2000,PS,2000,Sports,0.0,0.0,0.11,0.01
4819,Gallop Racer 2001,PS2,2001,Sports,0.05,0.04,0.06,0.01
4820,Gallop Racer 2003: A New Breed,PS2,2002,Sports,0.04,0.03,0.12,0.01
4821,Gallop Racer 2004,PS2,2004,Sports,0.03,0.02,0.0,0.01
4822,Gallop Racer 2006,PS2,2005,Sports,0.02,0.02,0.06,0.01
4823,Gallop Racer 2: One and Only Road to Victory,PS,1997,Sports,0.0,0.0,0.25,0.02
4824,Gallop Racer Inbreed,PS2,2006,Sports,0.0,0.0,0.02,0.0
4825,Gambler Densetsu Tetsuya,PS2,2001,Adventure,0.0,0.0,0.07,0.0
4826,Game & Wario,WiiU,2013,Misc,0.06,0.06,0.11,0.01
4827,Game & Watch Gallery,GB,1997,Misc,0.63,0.25,0.09,0.03
4828,Game & Watch Gallery 2,GB,1997,Misc,0.76,0.3,0.12,0.04
4829,Game & Watch Gallery 3,GB,1999,Misc,0.79,0.31,0.08,0.04
4830,Game & Watch Gallery 4,GBA,2002,Misc,0.43,0.16,0.0,0.01
4831,Game Book DS: Sword World 2.0,DS,2009,Role-Playing,0.0,0.0,0.01,0.0
4832,Game Center CX: 3-Choume no Arino,3DS,2014,Action,0.0,0.0,0.06,0.0
4833,Game Center CX: Arino no Chousenjou 2,DS,2009,Action,0.0,0.0,0.07,0.0
4834,Game Hits!,DS,2010,Misc,0.07,0.01,0.0,0.01
4835,Game Party,Wii,2007,Misc,1.5,0.78,0.0,0.24
4836,Game Party 2,Wii,2008,Misc,1.3,0.44,0.0,0.17
4837,Game Party 3,Wii,2009,Puzzle,1.43,0.16,0.0,0.12
4838,Game Party in Motion,X360,2010,Misc,0.36,0.18,0.0,0.05
4839,Game Party: Champions,WiiU,2012,Action,0.09,0.03,0.0,0.01
4840,Game de Hakken!! Tamagotchi 2,GB,1997,Simulation,0.0,0.0,1.44,0.01
4841,Game no Kanzume Vol 1,SCD,1994,Misc,0.0,0.0,0.04,0.0
4842,Game no Kanzume Vol 2,SCD,1994,Misc,0.0,0.0,0.05,0.0
4843,Game of Thrones,PC,2012,Role-Playing,0.0,0.07,0.0,0.01
4844,Game of Thrones,PS3,2012,Role-Playing,0.1,0.11,0.0,0.04
4845,Game of Thrones,X360,2012,Role-Playing,0.15,0.08,0.0,0.02
4846,Game of Thrones (Telltale),PS3,2015,Adventure,0.02,0.03,0.0,0.01
4847,Game of Thrones (Telltale),PS4,2015,Adventure,0.04,0.0,0.0,0.01
4848,Game of Thrones (Telltale),X360,2015,Adventure,0.02,0.01,0.0,0.0
4849,Game of Thrones (Telltale),XOne,2015,Adventure,0.03,0.0,0.0,0.0
4850,GameBoy Wars,GB,1991,Strategy,0.0,0.0,0.18,0.0
4851,Gameboy Gallery,GB,1995,Misc,0.0,0.0,0.3,0.0
4852,Games Around the World,DS,2010,Misc,0.01,0.0,0.0,0.0
4853,Games Explosion!,GBA,2006,Action,0.01,0.0,0.0,0.0
4854,Ganbare Goemon 2: Kiteretsu Shougun Magginesu,SNES,1993,Platform,0.0,0.0,0.31,0.0
4855,Ganbare Goemon 3: Shishi Jyuurokubei no Karakuri Manji Katame,SNES,1994,Platform,0.0,0.0,0.36,0.0
4856,Ganbare Goemon! Karakuri Douchuu,NES,1986,Platform,0.0,0.0,1.2,0.0
4857,Ganbare Goemon: KiraKira Douchuu - Boku ga Dancer ni Natta Riyuu,SNES,1995,Platform,0.0,0.0,0.31,0.0
4858,Ganbare Goemon: Toukai Douchuu Ooedo Tengurigaeshi no Maki,DS,2005,Action,0.0,0.0,0.03,0.0
4859,Ganbaru Watashi no Kakei Diary,DS,2007,Misc,0.0,0.0,0.61,0.0
4860,Gangs of London,PSP,2006,Adventure,0.3,0.44,0.0,0.22
4861,Gardening Guide: How to get Green Fingers,DS,2009,Misc,0.0,0.01,0.0,0.0
4862,Gardening Mama,DS,2009,Puzzle,0.8,0.43,0.01,0.13
4863,Garfield Gets Real,DS,2009,Action,0.0,0.02,0.0,0.0
4864,Garfield's Fun Fest,DS,2008,Platform,0.07,0.04,0.0,0.01
4865,Garfield's Nightmare,DS,2007,Platform,0.01,0.0,0.0,0.0
4866,Garfield: A Tale of Two Kitties,DS,2006,Platform,0.03,0.0,0.0,0.0
4867,Garfield: Lasagna World Tour,PS2,2007,Action,0.08,0.06,0.0,0.02
4868,Garfield: The Search for Pooky,GBA,2003,Platform,0.03,0.01,0.0,0.0
4869,Garou Densetsu 3: Road to the Final Victory,SAT,1996,Fighting,0.0,0.0,0.05,0.0
4870,Gauntlet,2600,1982,Action,0.46,0.03,0.0,0.01
4871,Gauntlet / Rampart,GBA,2005,Misc,0.02,0.01,0.0,0.0
4872,Gauntlet Legends,N64,1999,Action,0.43,0.1,0.0,0.01
4873,Gauntlet Legends,PS,2000,Action,0.26,0.18,0.0,0.03
4874,Gauntlet: Dark Legacy,GC,2002,Action,0.14,0.04,0.0,0.0
4875,Gauntlet: Dark Legacy,PS2,2001,Action,0.56,0.44,0.0,0.15
4876,Gauntlet: Dark Legacy,XB,2002,Action,0.13,0.04,0.0,0.01
